Rectangle,Width,Height,X,Y
R,0.155902,0.199553,0,0
R,0.0389795,0.197835,0.155902,0
R,0.194777,0.193998,0.194881,0
R,0.109133,0.191043,0.389659,0
R,0.158168,0.187856,0.498792,0
R,0.0763594,0.184426,0.65696,0
R,0.0727098,0.177745,0.733319,0
R,0.152034,0.172244,0.806029,0
R,0.0945174,0.170759,0,0.199553
R,0.125773,0.169684,0.0945174,0.199553
R,0.0429957,0.169402,0.220291,0.199553
R,0.0657301,0.169377,0.263286,0.199553
R,0.173065,0.169176,0.329016,0.199553
R,0.16913,0.169047,0.502081,0.199553
R,0.0272781,0.168636,0.671211,0.199553
R,0.135044,0.165133,0.698489,0.199553
R,0.0123226,0.164974,0.833532,0.199553
R,0.153123,0.163156,0.845855,0.199553
R,0.10413,0.161784,0,0.370312
R,0.138972,0.156629,0.10413,0.370312
R,0.141404,0.153024,0.243102,0.370312
R,0.156384,0.149738,0.384506,0.370312
R,0.128103,0.149658,0.540891,0.370312
R,0.0497342,0.1471,0.668994,0.370312
R,0.131174,0.142683,0.718728,0.370312
R,0.0160834,0.141279,0.849902,0.370312
R,0.0795842,0.140589,0.865985,0.370312
R,0.0577092,0.136989,0,0.532096
R,0.0312439,0.134523,0.0577092,0.532096
R,0.0477972,0.133127,0.0889532,0.532096
R,0.091651,0.130556,0.13675,0.532096
R,0.161574,0.130473,0.228401,0.532096
R,0.13281,0.129756,0.389976,0.532096
R,0.019638,0.1212,0.522786,0.532096
R,0.11207,0.118689,0.542424,0.532096
R,0.00830272,0.117734,0.654494,0.532096
R,0.106959,0.117443,0.662797,0.532096
R,0.101746,0.112362,0.769756,0.532096
R,0.0434852,0.111188,0.871502,0.532096
R,0.0486192,0.107511,0.914988,0.532096
R,0.162955,0.106497,0,0.669085
R,0.121555,0.106274,0.162955,0.669085
R,0.0374936,0.102275,0.28451,0.669085
R,0.114867,0.100022,0.322003,0.669085
R,0.134053,0.098284,0.43687,0.669085
R,0.190793,0.0952201,0.570923,0.669085
R,0.178998,0.0950361,0.761716,0.669085
R,0.101556,0.0948356,0,0.775582
R,0.152186,0.0881874,0.101556,0.775582
R,0.148694,0.0848995,0.253741,0.775582
R,0.135918,0.0840574,0.402435,0.775582
R,0.124462,0.0834021,0.538353,0.775582
R,0.143208,0.081164,0.662815,0.775582
R,0.0127209,0.0803735,0.806023,0.775582
R,0.192232,0.0803134,0,0.870418
R,0.0436778,0.0793164,0.192232,0.870418
R,0.0563793,0.0791916,0.23591,0.870418
R,0.0762137,0.0778246,0.292289,0.870418
R,0.0341181,0.0773094,0.368503,0.870418
R,0.0705322,0.0750329,0.402621,0.870418
R,0.12742,0.071228,0.473153,0.870418
R,0.0283084,0.0709831,0.600573,0.870418
R,0.164024,0.0685547,0.628881,0.870418
R,0.0981709,0.0672669,0.792905,0.870418
R,0.146892,0.0664872,0,0.950731
R,0.0226186,0.0655608,0.146892,0.950731
R,0.0621977,0.065494,0.16951,0.950731
R,0.158093,0.064077,0.231708,0.950731
R,0.118913,0.0628515,0.389801,0.950731
R,0.00573973,0.0621752,0.508714,0.950731
R,0.154807,0.0616084,0.514454,0.950731
R,0.0915652,0.058836,0.669261,0.950731
R,0.181409,0.057097,0.760826,0.950731
R,0.13774,0.0499977,0,1.01722
R,0.0989792,0.0497838,0.13774,1.01722
R,0.0862425,0.0480864,0.23672,1.01722
R,0.158897,0.04576,0.322962,1.01722
R,0.113633,0.0447793,0.481859,1.01722
R,0.103719,0.0441534,0.595492,1.01722
R,0.065821,0.0419273,0.699211,1.01722
R,0.0484539,0.0403006,0.765032,1.01722
R,0.145642,0.0357888,0.813486,1.01722
R,0.147524,0.0351541,0,1.06722
R,0.123857,0.0350632,0.147524,1.06722
R,0.0348685,0.0340927,0.271382,1.06722
R,0.16941,0.0324688,0.30625,1.06722
R,0.0357205,0.0282796,0.47566,1.06722
R,0.141026,0.0281778,0.51138,1.06722
R,0.198037,0.0267629,0.652406,1.06722
R,0.0577406,0.025705,0.850444,1.06722
R,0.0251442,0.0203957,0.908184,1.06722
R,0.138155,0.0195393,0,1.10237
R,0.0105771,0.0192867,0.138155,1.10237
R,0.00243058,0.0132481,0.148732,1.10237
R,0.114774,0.0127792,0.151163,1.10237
R,0.0279142,0.0115065,0.265936,1.10237
R,0.11018,0.0106472,0.293851,1.10237
R,0.0265311,0.00651632,0.404031,1.10237
R,0.0881208,0.00404758,0.430562,1.10237
R,0.0350135,0.0025419,0.518683,1.10237
