Rectangle,Width,Height,X,Y
R,0.155902,0.199553,0,0.274311
R,0.0389795,0.197835,0.155902,0.274311
R,0.109133,0.191043,0.194881,0.274311
R,0.158168,0.187856,0.304015,0.274311
R,0.0763594,0.184426,0.462183,0.274311
R,0.0727098,0.177745,0.538542,0.274311
R,0.152034,0.172244,0.611252,0.274311
R,0.0945174,0.170759,0.763286,0.274311
R,0.125773,0.169684,0.857803,0.274311
R,0.0123226,0.164974,0.983577,0.274311
R,0.00243058,0.0132481,0.995899,0.274311
R,0.0429957,0.169402,0,0.473864
R,0.0657301,0.169377,0.0429957,0.473864
R,0.0272781,0.168636,0.108726,0.473864
R,0.135044,0.165133,0.136004,0.473864
R,0.153123,0.163156,0.271048,0.473864
R,0.10413,0.161784,0.42417,0.473864
R,0.138972,0.156629,0.5283,0.473864
R,0.141404,0.153024,0.667272,0.473864
R,0.156384,0.149738,0.808677,0.473864
R,0.0160834,0.141279,0.965061,0.473864
R,0.00830272,0.117734,0.981144,0.473864
R,0.00573973,0.0621752,0.989447,0.473864
R,0.128103,0.149658,0,0.643267
R,0.0497342,0.1471,0.128103,0.643267
R,0.131174,0.142683,0.177837,0.643267
R,0.0795842,0.140589,0.309011,0.643267
R,0.0577092,0.136989,0.388595,0.643267
R,0.0312439,0.134523,0.446304,0.643267
R,0.0477972,0.133127,0.477548,0.643267
R,0.091651,0.130556,0.525345,0.643267
R,0.161574,0.130473,0.616996,0.643267
R,0.13281,0.129756,0.778571,0.643267
R,0.019638,0.1212,0.911381,0.643267
R,0.0434852,0.111188,0.931019,0.643267
R,0.0127209,0.0803735,0.974504,0.643267
R,0.0105771,0.0192867,0.987225,0.643267
R,0.11207,0.118689,0,0.792924
R,0.106959,0.117443,0.11207,0.792924
R,0.101746,0.112362,0.219029,0.792924
R,0.0486192,0.107511,0.320776,0.792924
R,0.162955,0.106497,0.369395,0.792924
R,0.121555,0.106274,0.532349,0.792924
R,0.0374936,0.102275,0.653905,0.792924
R,0.114867,0.100022,0.691398,0.792924
R,0.134053,0.098284,0.806265,0.792924
R,0.0436778,0.0793164,0.940318,0.792924
R,0.101556,0.0948356,0,0.911613
R,0.152186,0.0881874,0.101556,0.911613
R,0.148694,0.0848995,0.253741,0.911613
R,0.135918,0.0840574,0.402435,0.911613
R,0.124462,0.0834021,0.538353,0.911613
R,0.143208,0.081164,0.662815,0.911613
R,0.0563793,0.0791916,0.806023,0.911613
R,0.0762137,0.0778246,0.862402,0.911613
R,0.0341181,0.0773094,0.938616,0.911613
R,0.0226186,0.0655608,0.972734,0.911613
R,0.0705322,0.0750329,0,1.00645
R,0.12742,0.071228,0.0705322,1.00645
R,0.0283084,0.0709831,0.197952,1.00645
R,0.164024,0.0685547,0.22626,1.00645
R,0.0981709,0.0672669,0.390285,1.00645
R,0.146892,0.0664872,0.488456,1.00645
R,0.0621977,0.065494,0.635347,1.00645
R,0.158093,0.064077,0.697545,1.00645
R,0.118913,0.0628515,0.855638,1.00645
R,0.0251442,0.0203957,0.974551,1.00645
R,0.154807,0.0616084,0,1.08148
R,0.0915652,0.058836,0.154807,1.08148
R,0.13774,0.0499977,0.246372,1.08148
R,0.0989792,0.0497838,0.384113,1.08148
R,0.0862425,0.0480864,0.483092,1.08148
R,0.158897,0.04576,0.569334,1.08148
R,0.113633,0.0447793,0.728231,1.08148
R,0.103719,0.0441534,0.841864,1.08148
R,0.0484539,0.0403006,0.945583,1.08148
R,0.065821,0.0419273,0,1.14309
R,0.145642,0.0357888,0.065821,1.14309
R,0.147524,0.0351541,0.211463,1.14309
R,0.123857,0.0350632,0.358987,1.14309
R,0.0348685,0.0340927,0.482845,1.14309
R,0.0357205,0.0282796,0.517713,1.14309
R,0.141026,0.0281778,0.553434,1.14309
R,0.0577406,0.025705,0.69446,1.14309
R,0.138155,0.0195393,0.7522,1.14309
R,0.0279142,0.0115065,0.890355,1.14309
R,0.0265311,0.00651632,0.918269,1.14309
R,0.0350135,0.0025419,0.9448,1.14309
R,0.114774,0.0127792,0,1.18502
R,0.11018,0.0106472,0.114774,1.18502
R,0.0881208,0.00404758,0.224954,1.18502
R,0.194777,0.193998,0,0
R,0.173065,0.169176,0.194777,0
R,0.16913,0.169047,0.367842,0
R,0.190793,0.0952201,0.536971,0
R,0.178998,0.0950361,0.727764,0
R,0.192232,0.0803134,0,0.193998
R,0.181409,0.057097,0.192232,0.193998
R,0.16941,0.0324688,0.373641,0.193998
R,0.198037,0.0267629,0.543051,0.193998
